,handle,A_mean,B_mean,C_mean,D_mean,E_mean,A_max,B_max,C_max,D_max,E_max,A_attempts,B_attempts,C_attempts,D_attempts,E_attempts,A_solved,B_solved,C_solved,D_solved,E_solved,rank
0,----------,1,1,1,1,0.933333333,1,1,1,1,1,1,1.166666667,1.5,1.5,4,1.2,1.2,1.4,1.2,1.2,0.5
1,#NAME?,1,1,1,1,1,1,1,1,1,1,1,1,1,1.333333333,2.166666667,1.2,1.2,1.2,1.2,1.2,0.8
2,-0_5,1,1,1,1,1,1,1,1,1,1,1.166666667,1,1.166666667,1.666666667,2,1.2,1.2,1.2,1.2,1.2,0.9
3,-14,1,1,1,1,1,1,1,1,1,1,1,1.666666667,1.333333333,1.166666667,2.833333333,1.2,1.2,1.2,1.2,1.2,0.8
4,-1.00E+11,1,1,1,1,0.95,1,1,1,1,1,1,1.166666667,1.666666667,1.666666667,1.5,1.2,1.2,1.2,1.2,1,0.5
5,-23333,1,1,1,1,1,1,1,1,1,1,1.5,1.666666667,1.666666667,1,2.833333333,1.2,1.2,1.2,1.2,1.2,0.6
6,-XraY-,1,1,1,0.933333333,1,1,1,1,1,1,1,1,1.166666667,1,1.166666667,1.2,1.2,1.2,1,1.2,0.8
7,-imc-,1,1,1,1,1,1,1,1,1,1,1.333333333,1.333333333,1.666666667,1.5,1.833333333,1.2,1.2,1.2,1.2,1.2,0.5
8,-is-this-fft-,1,1,1,1,0.95,1,1,1,1,1,1,1,1,1.333333333,2.5,1.2,1.2,1.2,1.2,1,0.6
9,-rs-,1,1,1,1,1,1,1,1,1,1,1.333333333,1.5,2.166666667,1.833333333,4.166666667,1.2,1.2,1.6,1.6,1.4,0.5
10,-skyline-,1,1,1,1,1,1,1,1,1,1,1.166666667,1.333333333,1.5,1.5,1.833333333,1.2,1.2,1.2,1.2,1.2,0.8
11,114346323,1,1,1,1,1,1,1,1,1,1,1.166666667,1.5,1.166666667,2.333333333,2.666666667,1.2,1.2,1.2,1.2,1.2,0.6
12,01191020csl,1,1,1,1,1,1,1,1,1,1,1,1.5,1.333333333,1.833333333,1.166666667,1.2,1.2,1.2,1.2,1.2,0.8
13,0wuming0,1,1,1,1,1,1,1,1,1,1,1,1.166666667,1.333333333,1.333333333,1.333333333,1.2,1.2,1.2,1.2,1.2,0.6
14,1000--7,1,1,1,1,1,1,1,1,1,1,2.166666667,1.333333333,2.166666667,2.166666667,3.5,1.2,1.2,1.2,1.2,1.2,0.5
15,1092515503,1,1,1,1,1,1,1,1,1,1,1,1.333333333,1.666666667,1.166666667,1.833333333,1.2,1.2,1.2,1.2,1.2,0.9
16,1213James,1,1,1,1,0.95,1,1,1,1,1,1,1.333333333,1.833333333,1.166666667,3,1.2,1.2,1.2,1.2,1,0.5
17,12tqian,1,1,1,1,1,1,1,1,1,1,1.166666667,1,1.666666667,2.333333333,1.666666667,1.2,1.2,1.2,1.2,1.2,0.6
18,131131yhx,1,1,1,1,0.95,1,1,1,1,1,1,1,1.5,1.333333333,1.666666667,1.2,1.2,1.2,1.2,1,0.8
19,1435730,1,1,1,1,0.95,1,1,1,1,1,1.166666667,2.166666667,1.333333333,1,1.5,1.2,1.2,1.2,1.2,1.2,0.1
20,18Michael,1,1,1,1,1,1,1,1,1,1,1.5,1.833333333,2.333333333,1.5,3.666666667,1.2,1.2,1.2,1.2,1.2,0.6
21,1_618,1,1,1,1,1,1,1,1,1,1,1.166666667,1,1,1.166666667,1.333333333,1.2,1.2,1.2,1.2,1.2,0.6
22,1a2a3a,1,1,1,1,0.95,1,1,1,1,1,1,1.333333333,1.166666667,1.333333333,3,1.2,1.2,1.2,1.2,1,0.1
23,200815147,1,1,1,1,1,1,1,1,1,1,1,1.166666667,1.5,2,1.333333333,1.2,1.2,1.2,1.2,1.2,0.5
24,2014CAIS01,1,1,1,1,0.95,1,1,1,1,1,1.666666667,1,2.333333333,1.333333333,1.833333333,1.2,1.2,1.2,1.2,1,0.7
25,2.01832E+11,1,1,1,1,1,1,1,1,1,1,1,1.5,1.333333333,1.166666667,1.333333333,1.2,1.4,1.2,1.2,1.2,0.6
26,2018LZY,1,1,1,1,0.95,1,1,1,1,1,1.166666667,1.333333333,2.833333333,1,1.5,1.2,1.2,1.2,1.2,1,0.5
27,20333333333,1,1,1,1,1,1,1,1,1,1,1,1.333333333,1.666666667,2.5,1.333333333,1.2,1.2,1.2,1.2,1.2,0.8
28,20I6wudi,1,1,1,1,1,1,1,1,1,1,1.166666667,1.166666667,1.833333333,1.5,1.5,1.2,1.2,1.2,1.2,1.2,0.8
29,21-Aug,1,1,1,1,1,1,1,1,1,1,1,1,1.166666667,2,1.333333333,1.2,1.2,1.2,1.2,1.2,0.5
30,244mhq,1,1,1,1,1,1,1,1,1,1,1,1,1.333333333,1.5,1.833333333,1.2,1.2,1.2,1.2,1.2,0.8
31,275307894a,1,1,1,1,1,1,1,1,1,1,1,1.5,1.166666667,2.166666667,3.5,1.2,1.2,1.2,1.2,1.2,0.6
32,2qbingxuan,1,1,1,1,1,1,1,1,1,1,1,1.166666667,1.833333333,1.333333333,2.666666667,1.2,1.2,1.2,1.2,1.2,0.5
33,300_are_queue,1,1,1,1,1,1,1,1,1,1,1.5,1,1.333333333,1.166666667,1.333333333,1.2,1.2,1.2,1.2,1.2,0.5
34,300iq,1,1,1,1,1,1,1,1,1,1,2,1.166666667,1,2,1.333333333,1.2,1.2,1.2,1.2,1.2,0.5
35,321zdq,1,1,1,1,0.95,1,1,1,1,1,1.5,1.166666667,1,1.666666667,1.166666667,1.2,1.2,1.2,1.2,1,0.5
36,353cerega,1,1,1,1,1,1,1,1,1,1,1.333333333,1.833333333,1.166666667,1.333333333,1.166666667,1.2,1.2,1.2,1.2,1.2,0.9
37,3nb,1,1,1,1,0.95,1,1,1,1,1,1.666666667,1.333333333,1,1.833333333,2,1.2,1.2,1.2,1.2,1,0.2
38,45dino,1,1,1,1,1,1,1,1,1,1,1,1.666666667,1.333333333,2.5,1.666666667,1.2,1.2,1.2,1.2,1.2,0.6
39,4fecta,1,1,1,1,1,1,1,1,1,1,1,1.166666667,1,2.5,2.5,1.2,1.2,1.2,1.2,1.2,0.7
40,5002ryx,1,1,1,1,0.95,1,1,1,1,1,1,1.166666667,1.666666667,1.333333333,2.5,1.2,1.2,1.2,1.2,1,0.6
41,5ab,1,1,1,1,1,1,1,1,1,1,1,1.666666667,1.333333333,1.666666667,1.5,1.2,1.2,1.2,1.2,1.2,0.7
42,6aren,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.666666667,2.666666667,1.2,1.2,1.2,1.2,1.2,0.6
43,74TrAkToR,1,1,1,1,1,1,1,1,1,1,1,1,1.166666667,1.5,2.166666667,1.2,1.2,1.2,1.2,1.2,0.6
44,777777777Plus,1,1,1,1,1,1,1,1,1,1,1,1.333333333,1.333333333,2,1.833333333,1.2,1.2,1.2,1.2,1.2,0.6
45,79brue,1,1,1,1,1,1,1,1,1,1,1.166666667,1.333333333,1.333333333,3,2,1.2,1.2,1.2,1.2,1.2,0.5
46,8.00E+07,1,1,1,0.95,1,1,1,1,1,1,1,1.166666667,1.333333333,1.333333333,1,1.2,1.2,1.2,1,1.2,0.7
47,913887524gsd,1,1,1,1,0.95,1,1,1,1,1,1.166666667,1.333333333,1,1,1.666666667,1.2,1.2,1.2,1.2,1,0.5
48,963noah,1,1,1,1,1,1,1,1,1,1,1,1.333333333,1.333333333,1.666666667,1.5,1.2,1.2,1.2,1.2,1.2,0.7
49,9646516,1,1,1,1,1,1,1,1,1,1,1.833333333,1.166666667,1.5,2.5,2.833333333,1.4,1.2,1.2,1.2,1.2,0.5
50,998batrr,1,1,1,1,1,1,1,1,1,1,1.166666667,1.333333333,1.333333333,1.333333333,3.333333333,1.2,1.2,1.2,1.2,1.2,0.8
51,A-SOUL_Bella,1,1,1,1,1,1,1,1,1,1,1.166666667,1.333333333,1.333333333,2,1.833333333,1.2,1.2,1.2,1.2,1.2,0.8
52,AA_Surely,1,1,1,1,1,1,1,1,1,1,1,1.166666667,2.166666667,1.5,4.5,1.2,1.2,1.2,1.2,1.2,0.5
53,ABalobanov,1,1,1,1,1,1,1,1,1,1,1.5,1.166666667,1.166666667,2.333333333,1.166666667,1.2,1.2,1.2,1.2,1.2,0.4
54,ACRush,1,1,1,1,0.95,1,1,1,1,1,1,1,1.166666667,2.5,1.333333333,1.2,1.2,1.2,1.2,1,0.9
55,ACube,1,1,1,0.95,1,1,1,1,1,1,1.166666667,1.666666667,2,2.166666667,2.833333333,1.4,1.4,1.4,1.2,1.4,0.5
56,ADJA,1,1,1,1,1,1,1,1,1,1,1,1,1,1.166666667,1.5,1.2,1.2,1.2,1.2,1.2,0.5
57,AFOier,1,1,1,1,1,1,1,1,1,1,1,1,2.5,2,1.5,1.2,1.2,1.2,1.2,1.2,0.5
58,AK-Dream,1,1,1,1,1,1,1,1,1,1,1.166666667,1.333333333,1.333333333,1.5,1.5,1.2,1.2,1.2,1.2,1.2,0.7
59,ALILILILILI-KHAN,1,1,1,1,1,1,1,1,1,1,1.166666667,1,1.666666667,1.833333333,2.666666667,1.2,1.2,1.2,1.2,1.2,0.6
60,ANZ,1,1,1,1,0.95,1,1,1,1,1,1.666666667,1.166666667,3,1.833333333,2.5,1.2,1.2,1.2,1.2,1,0.6
61,AQT,1,1,1,1,1,1,1,1,1,1,1.166666667,1,1.333333333,2,2,1.2,1.2,1.2,1.2,1.2,0.6
62,AQil,1,1,1,1,1,1,1,1,1,1,1,1.5,1.166666667,1.5,1.666666667,1.2,1.2,1.2,1.2,1.2,0.7
63,ARPlT,1,1,1,1,1,1,1,1,1,1,1.333333333,1,1.5,1.5,2.5,1.2,1.2,1.2,1.2,1.2,0.5
64,ATM12345,1,1,1,1,0.966666667,1,1,1,1,1,1.166666667,1.666666667,1.333333333,1.666666667,4,1.2,1.2,1.2,1.2,1,0.5
65,ATS,1,1,1,1,1,1,1,1,1,1,1.333333333,1.333333333,1,1.166666667,1.333333333,1.2,1.2,1.2,1.2,1.2,0.8
66,ATSTNG,1,1,1,1,1,1,1,1,1,1,1.333333333,1.166666667,1,1.166666667,2,1.2,1.2,1.2,1.2,1.2,0.5
67,A_G,1,1,1,1,1,1,1,1,1,1,1,1.166666667,1,1.5,1.5,1.2,1.2,1.2,1.2,1.2,0.8
68,A_K_E_E_,1,1,1,1,1,1,1,1,1,1,1.333333333,1.333333333,1.666666667,2.333333333,1.666666667,1.2,1.2,1.2,1.2,1.2,0.8
69,A_Le_K,1,1,1,1,1,1,1,1,1,1,1.333333333,1,1.5,1.166666667,1.833333333,1.2,1.2,1.2,1.2,1.2,0.5
70,Aabhas99,1,1,1,1,1,1,1,1,1,1,1.5,1.166666667,2,1.333333333,1.666666667,1.2,1.2,1.2,1.2,1.2,0.3
71,AaronHe,1,1,1,1,0.9,1,1,1,1,1,1,1,1.833333333,2,1.833333333,1.2,1.2,1.2,1.2,0.8,0.5
72,Abdul_Aziz,1,1,1,1,0.883333333,1,1,1,1,1,1.666666667,1.166666667,1.833333333,1.166666667,1.833333333,1.2,1.2,1.2,1.2,0.8,0.3
73,Ace_02,1,1,1,1,0.95,1,1,1,1,1,1.333333333,1.333333333,1.5,5.333333333,1.5,1.2,1.2,1.2,1.2,1,0.3
74,AcidWrongGod,1,1,1,1,0.95,1,1,1,1,1,1,1.166666667,1,2.5,2.166666667,1.2,1.2,1.2,1.2,1,0.7
75,Acranker,1,1,1,0.95,0.95,1,1,1,1,1,1,1,1.333333333,1.666666667,2,1.2,1.2,1.2,1,1,0.5
76,Adalbert,1,1,1,0.933333333,0.966666667,1,1,1,1,1,1,1.333333333,2,2,5.333333333,1.2,1.2,1.2,1.2,1,0.6
77,Adam_GS,1,1,1,1,1,1,1,1,1,1,1.5,1.166666667,1.333333333,1,1.166666667,1.2,1.2,1.2,1.2,1.2,0.6
78,Adhami,1,1,1,1,0.883333333,1,1,1,1,1,1,1.333333333,1.833333333,2,2.166666667,1.2,1.2,1.2,1.2,0.8,0.5
79,AghaTizi,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,2.333333333,1.2,1.2,1.2,1.2,1.2,0.6
80,Aging1986,1,1,1,1,1,1,1,1,1,1,1.333333333,1.5,2.666666667,1.333333333,2.166666667,1.2,1.2,1.2,1.2,1.2,0.7
81,Agnimandur,1,1,1,1,0.95,1,1,1,1,1,1.333333333,1.333333333,1.333333333,1,2,1.2,1.2,1.2,1.2,1,0.5
82,Agreb,1,1,1,1,1,1,1,1,1,1,1,1,1.166666667,1.333333333,2.666666667,1.2,1.2,1.2,1.2,1.4,0.6
83,Agua_Podrida,1,1,1,1,1,1,1,1,1,1,1.166666667,1.333333333,1.5,1.333333333,1.333333333,1.2,1.2,1.2,1.2,1.2,0.6
84,Ahmad_Elsagheer,1,1,1,1,0.933333333,1,1,1,1,1,1,1.166666667,1.666666667,1.166666667,1.833333333,1.2,1.2,1.2,1.2,1,0.5
85,AhmedEzzatG,1,1,1,1,1,1,1,1,1,1,1.333333333,1,1.833333333,1.5,1.5,1.2,1.2,1.2,1.2,1.2,0.3
86,Ahmed_Salah7,1,1,1,1,0.966666667,1,1,1,1,1,1,1.5,1.333333333,1.5,2.166666667,1.2,1.2,1.2,1.2,1,0.4
87,Aidos,1,1,1,1,1,1,1,1,1,1,1.333333333,1.166666667,1.333333333,2.5,1,1.2,1.2,1.2,1.2,1.2,0.8
88,AkaiLemon,1,1,1,1,1,1,1,1,1,1,1,1.666666667,1,1.166666667,3.166666667,1.2,1.2,1.2,1.2,1.2,0.6
89,AkiLotus,1,1,1,0.95,1,1,1,1,1,1,1.333333333,1.833333333,1.833333333,1.333333333,1.333333333,1.2,1.2,1.4,1,1.2,0.5
